x,t=5.00e-02s,t=1.00e+00s,t=1.00e+01s,t=1.00e+02s
3.266331658291457291e-03,-2.190438224737795587e-25,-2.190438224737795587e-25,-2.190438224737795587e-25,-2.190438224737795587e-25
3.316582914572864266e-03,5.869233221785864137e-26,5.869233221785864137e-26,5.869233221785864137e-26,5.869233221785864137e-26
3.366834170854271242e-03,-1.572648715799245705e-26,-1.572648715799245705e-26,-1.572648715799245705e-26,-1.572648715799245705e-26
3.417085427135678651e-03,4.213879206784178700e-27,4.213879206784178700e-27,4.213879206784178700e-27,4.213879206784178700e-27
3.467336683417085626e-03,-1.129100083888963564e-27,-1.129100083888963564e-27,-1.129100083888963564e-27,-1.129100083888963564e-27
3.517587939698492601e-03,3.025399962546574573e-28,3.025399962546574573e-28,3.025399962546574573e-28,3.025399962546574573e-28
3.567839195979899576e-03,-8.106495663210783518e-29,-8.106495663210783518e-29,-8.106495663210783518e-29,-8.106495663210783518e-29
3.618090452261306551e-03,2.172118488503603263e-29,2.172118488503603263e-29,2.172118488503603263e-29,2.172118488503603263e-29
3.668341708542713527e-03,-5.820145873279175365e-30,-5.820145873279175365e-30,-5.820145873279175365e-30,-5.820145873279175365e-30
3.718592964824120502e-03,1.559495863855232449e-30,1.559495863855232449e-30,1.559495863855232449e-30,1.559495863855232449e-30
3.768844221105527911e-03,-4.178636416223273937e-31,-4.178636416223273937e-31,-4.178636416223273937e-31,-4.178636416223273937e-31
3.819095477386934886e-03,1.119656852171563404e-31,1.119656852171563404e-31,1.119656852171563404e-31,1.119656852171563404e-31
3.869346733668341861e-03,-3.000097021477146345e-32,-3.000097021477146345e-32,-3.000097021477146345e-32,-3.000097021477146345e-32
3.919597989949748403e-03,8.038696964002293291e-33,8.038696964002293291e-33,8.038696964002293291e-33,8.038696964002293291e-33
3.969849246231156245e-03,-2.153951969434772865e-33,-2.153951969434772865e-33,-2.153951969434772865e-33,-2.153951969434772865e-33
4.020100502512563220e-03,5.771469066949362092e-34,5.771469066949362092e-34,5.771469066949362092e-34,5.771469066949362092e-34
4.070351758793970195e-03,-1.546453015825338969e-34,-1.546453015825338969e-34,-1.546453015825338969e-34,-1.546453015825338969e-34
4.120603015075377171e-03,4.143688378840044761e-35,4.143688378840044761e-35,4.143688378840044761e-35,4.143688378840044761e-35
4.170854271356784146e-03,-1.110292598949109470e-35,-1.110292598949109470e-35,-1.110292598949109470e-35,-1.110292598949109470e-35
4.221105527638191121e-03,2.975005701626277817e-36,2.975005701626277817e-36,2.975005701626277817e-36,2.975005701626277817e-36
4.271356783919598096e-03,-7.971465299404857030e-37,-7.971465299404857030e-37,-7.971465299404857030e-37,-7.971465299404857030e-37
4.321608040201005072e-03,2.135937386099108135e-37,2.135937386099108135e-37,2.135937386099108135e-37,2.135937386099108135e-37
4.371859296482412047e-03,-5.723199369225761422e-38,-5.723199369225761422e-38,-5.723199369225761422e-38,-5.723199369225761422e-38
4.422110552763819022e-03,1.533519251691505455e-38,1.533519251691505455e-38,1.533519251691505455e-38,1.533519251691505455e-38
4.472361809045225997e-03,-4.109032629465453731e-39,-4.109032629465453731e-39,-4.109032629465453731e-39,-4.109032629465453731e-39
4.522613065326632972e-03,1.101006663684736464e-39,1.101006663684736464e-39,1.101006663684736464e-39,1.101006663684736464e-39
4.572864321608039948e-03,-2.950124233099340078e-40,-2.950124233099340078e-40,-2.950124233099340078e-40,-2.950124233099340078e-40
